point_label,window_start,window_end,supplier_article,orders_total,orders_local,local_share_percent,ktr,contribution
02.03-08.03,2025-12-08,2026-03-08,TB-07A1,21,7,33.3333,1.55,32.55
02.03-08.03,2025-12-08,2026-03-08,8002,24,10,41.6667,1.35,32.4
02.03-08.03,2025-12-08,2026-03-08,TW-1035,22,8,36.3636,1.45,31.9
02.03-08.03,2025-12-08,2026-03-08,SK11,20,7,35.0,1.45,29.0
02.03-08.03,2025-12-08,2026-03-08,OP-silver,23,11,47.8261,1.25,28.75
02.03-08.03,2025-12-08,2026-03-08,TF-cards-1pack,27,15,55.5556,1.05,28.35
02.03-08.03,2025-12-08,2026-03-08,K-SK11,17,5,29.4118,1.65,28.05
02.03-08.03,2025-12-08,2026-03-08,K-SK03,19,7,36.8421,1.45,27.55
02.03-08.03,2025-12-08,2026-03-08,BUM_SAM,20,8,40.0,1.35,27.0
02.03-08.03,2025-12-08,2026-03-08,Cyber-MEG,23,12,52.1739,1.15,26.45
02.03-08.03,2025-12-08,2026-03-08,THF-01J,23,12,52.1739,1.15,26.45
02.03-08.03,2025-12-08,2026-03-08,SS06,16,4,25.0,1.65,26.4
02.03-08.03,2025-12-08,2026-03-08,WK-90,25,14,56.0,1.05,26.25
02.03-08.03,2025-12-08,2026-03-08,SS12,18,7,38.8889,1.45,26.1
02.03-08.03,2025-12-08,2026-03-08,WK-97,12,1,8.3333,1.95,23.4
02.03-08.03,2025-12-08,2026-03-08,Cyber-UM,16,6,37.5,1.45,23.2
02.03-08.03,2025-12-08,2026-03-08,TB-07A,14,4,28.5714,1.65,23.1
02.03-08.03,2025-12-08,2026-03-08,LS01,17,8,47.0588,1.25,21.25
02.03-08.03,2025-12-08,2026-03-08,3349,21,15,71.4286,1.0,21.0
02.03-08.03,2025-12-08,2026-03-08,BT-01,14,5,35.7143,1.45,20.3
02.03-08.03,2025-12-08,2026-03-08,TW-1022-CY-01,15,6,40.0,1.35,20.25
02.03-08.03,2025-12-08,2026-03-08,Cyber-OP,19,11,57.8947,1.05,19.95
02.03-08.03,2025-12-08,2026-03-08,TW-1027,17,9,52.9412,1.15,19.55
02.03-08.03,2025-12-08,2026-03-08,6631,19,13,68.4211,1.0,19.0
02.03-08.03,2025-12-08,2026-03-08,JK-05B,15,7,46.6667,1.25,18.75
02.03-08.03,2025-12-08,2026-03-08,MCS-01-33018,11,3,27.2727,1.65,18.15
02.03-08.03,2025-12-08,2026-03-08,TW-1103,16,9,56.25,1.05,16.8
02.03-08.03,2025-12-08,2026-03-08,DD-01,12,5,41.6667,1.35,16.2
02.03-08.03,2025-12-08,2026-03-08,TW-1101B,14,7,50.0,1.15,16.1
02.03-08.03,2025-12-08,2026-03-08,MP-30,9,2,22.2222,1.75,15.75
02.03-08.03,2025-12-08,2026-03-08,THF-01P6,9,2,22.2222,1.75,15.75
02.03-08.03,2025-12-08,2026-03-08,U-01,9,2,22.2222,1.75,15.75
02.03-08.03,2025-12-08,2026-03-08,Grimlock-18,15,10,66.6667,1.0,15.0
02.03-08.03,2025-12-08,2026-03-08,TF-cards-3pack-mult,15,10,66.6667,1.0,15.0
02.03-08.03,2025-12-08,2026-03-08,6602,13,7,53.8462,1.15,14.95
02.03-08.03,2025-12-08,2026-03-08,6636,14,8,57.1429,1.05,14.7
02.03-08.03,2025-12-08,2026-03-08,3350,7,0,0.0,2.0,14.0
02.03-08.03,2025-12-08,2026-03-08,TF-cards-box,7,0,0.0,2.0,14.0
02.03-08.03,2025-12-08,2026-03-08,TF-cards-1pack-BR,9,3,33.3333,1.55,13.95
02.03-08.03,2025-12-08,2026-03-08,BB-02,12,6,50.0,1.15,13.8
02.03-08.03,2025-12-08,2026-03-08,YS-01C,13,8,61.5385,1.0,13.0
02.03-08.03,2025-12-08,2026-03-08,SW-01,11,6,54.5455,1.15,12.65
02.03-08.03,2025-12-08,2026-03-08,CY-01,12,7,58.3333,1.05,12.6
02.03-08.03,2025-12-08,2026-03-08,K-SK02,9,4,44.4444,1.35,12.15
02.03-08.03,2025-12-08,2026-03-08,Cyber-BULK,12,8,66.6667,1.0,12.0
02.03-08.03,2025-12-08,2026-03-08,TW-1030,12,8,66.6667,1.0,12.0
02.03-08.03,2025-12-08,2026-03-08,WK-98,8,3,37.5,1.45,11.6
02.03-08.03,2025-12-08,2026-03-08,ZS-01,8,3,37.5,1.45,11.6
02.03-08.03,2025-12-08,2026-03-08,K-SK07,7,2,28.5714,1.65,11.55
02.03-08.03,2025-12-08,2026-03-08,TF-cards-5pack-mult,7,2,28.5714,1.65,11.55
02.03-08.03,2025-12-08,2026-03-08,TF-cards-box-mult,12,10,83.3333,0.85,10.2
02.03-08.03,2025-12-08,2026-03-08,8817,9,5,55.5556,1.05,9.45
02.03-08.03,2025-12-08,2026-03-08,Cyber-IRON,7,3,42.8571,1.35,9.45
02.03-08.03,2025-12-08,2026-03-08,K-SK04,7,3,42.8571,1.35,9.45
02.03-08.03,2025-12-08,2026-03-08,V-2976B,9,5,55.5556,1.05,9.45
02.03-08.03,2025-12-08,2026-03-08,1984,6,2,33.3333,1.55,9.3
02.03-08.03,2025-12-08,2026-03-08,8801,6,2,33.3333,1.55,9.3
02.03-08.03,2025-12-08,2026-03-08,M66337,6,2,33.3333,1.55,9.3
02.03-08.03,2025-12-08,2026-03-08,2966-14,9,6,66.6667,1.0,9.0
02.03-08.03,2025-12-08,2026-03-08,Crosshairs,9,6,66.6667,1.0,9.0
02.03-08.03,2025-12-08,2026-03-08,6073,5,1,20.0,1.75,8.75
02.03-08.03,2025-12-08,2026-03-08,TW-1027B,5,1,20.0,1.75,8.75
02.03-08.03,2025-12-08,2026-03-08,H902,9,7,77.7778,0.95,8.55
02.03-08.03,2025-12-08,2026-03-08,PT-05,9,7,77.7778,0.95,8.55
02.03-08.03,2025-12-08,2026-03-08,6601P,8,5,62.5,1.0,8.0
02.03-08.03,2025-12-08,2026-03-08,BB-01,8,5,62.5,1.0,8.0
02.03-08.03,2025-12-08,2026-03-08,K-SK06,8,5,62.5,1.0,8.0
02.03-08.03,2025-12-08,2026-03-08,SW-02,4,0,0.0,2.0,8.0
02.03-08.03,2025-12-08,2026-03-08,glasses-orange,4,0,0.0,2.0,8.0
02.03-08.03,2025-12-08,2026-03-08,light-3000,8,5,62.5,1.0,8.0
02.03-08.03,2025-12-08,2026-03-08,MP-27,7,4,57.1429,1.05,7.35
02.03-08.03,2025-12-08,2026-03-08,TW-1122-CE,7,5,71.4286,1.0,7.0
02.03-08.03,2025-12-08,2026-03-08,OPwT&S,6,3,50.0,1.15,6.9
02.03-08.03,2025-12-08,2026-03-08,YPAMKM8MG,6,3,50.0,1.15,6.9
02.03-08.03,2025-12-08,2026-03-08,HMK-04,5,2,40.0,1.35,6.75
02.03-08.03,2025-12-08,2026-03-08,K-SK10,4,1,25.0,1.65,6.6
02.03-08.03,2025-12-08,2026-03-08,MT-07,4,1,25.0,1.65,6.6
02.03-08.03,2025-12-08,2026-03-08,MT-08,4,1,25.0,1.65,6.6
02.03-08.03,2025-12-08,2026-03-08,TW-1101,4,1,25.0,1.65,6.6
02.03-08.03,2025-12-08,2026-03-08,YPAMKM8OP,4,1,25.0,1.65,6.6
02.03-08.03,2025-12-08,2026-03-08,AM-01,3,0,0.0,2.0,6.0
02.03-08.03,2025-12-08,2026-03-08,BUM-26,6,4,66.6667,1.0,6.0
02.03-08.03,2025-12-08,2026-03-08,CX-01-OP,3,0,0.0,2.0,6.0
02.03-08.03,2025-12-08,2026-03-08,K-SK08,6,4,66.6667,1.0,6.0
02.03-08.03,2025-12-08,2026-03-08,bag-nike-black,3,0,0.0,2.0,6.0
02.03-08.03,2025-12-08,2026-03-08,TB-02,7,6,85.7143,0.75,5.25
02.03-08.03,2025-12-08,2026-03-08,TF-cards-3pack,6,5,83.3333,0.85,5.1
02.03-08.03,2025-12-08,2026-03-08,6643,5,3,60.0,1.0,5.0
02.03-08.03,2025-12-08,2026-03-08,JJ631C,5,3,60.0,1.0,5.0
02.03-08.03,2025-12-08,2026-03-08,RW-01,5,3,60.0,1.0,5.0
02.03-08.03,2025-12-08,2026-03-08,6601_OP,3,1,33.3333,1.55,4.65
02.03-08.03,2025-12-08,2026-03-08,Thundercracker,3,1,33.3333,1.55,4.65
02.03-08.03,2025-12-08,2026-03-08,SS102,4,2,50.0,1.15,4.6
02.03-08.03,2025-12-08,2026-03-08,HMK-09C,2,0,0.0,2.0,4.0
02.03-08.03,2025-12-08,2026-03-08,JJ631B,2,0,0.0,2.0,4.0
02.03-08.03,2025-12-08,2026-03-08,LS-06,2,0,0.0,2.0,4.0
02.03-08.03,2025-12-08,2026-03-08,RED-OP,2,0,0.0,2.0,4.0
02.03-08.03,2025-12-08,2026-03-08,SK08,2,0,0.0,2.0,4.0
02.03-08.03,2025-12-08,2026-03-08,K-SK01,4,3,75.0,0.95,3.8
02.03-08.03,2025-12-08,2026-03-08,131D,3,2,66.6667,1.0,3.0
02.03-08.03,2025-12-08,2026-03-08,6644,3,2,66.6667,1.0,3.0
02.03-08.03,2025-12-08,2026-03-08,8801A,3,2,66.6667,1.0,3.0
02.03-08.03,2025-12-08,2026-03-08,JJ631D,3,2,66.6667,1.0,3.0
02.03-08.03,2025-12-08,2026-03-08,MP-29,3,2,66.6667,1.0,3.0
02.03-08.03,2025-12-08,2026-03-08,TH-01,3,2,66.6667,1.0,3.0
02.03-08.03,2025-12-08,2026-03-08,YPAMKM8AC,3,2,66.6667,1.0,3.0
02.03-08.03,2025-12-08,2026-03-08,TF-cards-5pack,2,1,50.0,1.15,2.3
02.03-08.03,2025-12-08,2026-03-08,6618C,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,BW-11,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,DEVASTATOR,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,H.S.09,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,JJ631A,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,JJ631E,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,MP-12T,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,MP-15,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,MP-16,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,W8053,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,YPAMKM8AC-M,1,0,0.0,2.0,2.0
02.03-08.03,2025-12-08,2026-03-08,2966-113,2,2,100.0,0.5,1.0
02.03-08.03,2025-12-08,2026-03-08,AC-01,2,2,100.0,0.5,1.0
02.03-08.03,2025-12-08,2026-03-08,JJ631F,1,1,100.0,0.5,0.5
02.03-08.03,2025-12-08,2026-03-08,MHM-01,1,1,100.0,0.5,0.5
02.03-08.03,2025-12-08,2026-03-08,TF-cards-3pack-BR,1,1,100.0,0.5,0.5
02.03-08.03,2025-12-08,2026-03-08,TW-01,1,1,100.0,0.5,0.5
02.03-08.03,2025-12-08,2026-03-08,bag-nike-grey,1,1,100.0,0.5,0.5
02.03-08.03,2025-12-08,2026-03-08,glasses-black-gold,1,1,100.0,0.5,0.5
